파일명,TF-IDF_Cosine,Embedding_Cosine
val_029_result_Bed016_chunk_1,0.1038,0.8302
val_030_result_Bed009_chunk_1,0.2877,0.9654
val_010_result_Bro003_chunk_1,0.1758,0.8806
val_007_result_Bmr025_chunk_3,0.1806,0.8437
val_006_result_Bmr019_chunk_3,0.1368,0.8310
val_048_result_Bmr006_chunk_1,0.1420,0.8803
val_036_result_Bed013_chunk_5,0.2315,0.7977
val_042_result_TS3009d_chunk_3,0.1319,0.9069
val_036_result_Bed013_chunk_1,0.1433,0.8916
val_001_result_ES2016a,0.1779,0.9430
val_030_result_Bed009_chunk_3,0.2511,0.9115
val_030_result_Bed009_chunk_2,0.2289,0.9121
val_036_result_Bed013_chunk_2,0.0665,0.8405
val_006_result_Bmr019_chunk_1,0.2724,0.8815
val_006_result_Bmr019_chunk_5,0.2203,0.9521
val_050_result_TS3008a,0.1942,0.9191
val_045_result_TS3012c_chunk_3,0.2507,0.9292
val_040_result_Bmr013_chunk_2,0.1382,0.8298
val_026_result_ES2015c_chunk_3,0.2949,0.8962
val_006_result_Bmr019_chunk_2,0.1599,0.8335
val_032_result_TS3010b_chunk_2,0.2408,0.9263
val_010_result_Bro003_chunk_6,0.1169,0.9015
val_032_result_TS3010b_chunk_1,0.3459,0.9487
val_004_result_ES2014d_chunk_3,0.1446,0.8274
val_025_result_IS1000b_chunk_3,0.1970,0.9496
val_066_result_Bed002_chunk_1,0.2186,0.9681
val_043_result_ES2007d_chunk_2,0.1891,0.9575
val_063_result_IS1009d_chunk_1,0.1332,0.9170
val_034_result_Bed012_chunk_3,0.1163,0.9054
val_022_result_ES2002c_chunk_1,0.1976,0.9380
val_040_result_Bmr013_chunk_6,0.2441,0.9486
val_048_result_Bmr006_chunk_9,0.1737,0.9407
val_063_result_IS1009d_chunk_2,0.2419,0.9464
val_034_result_Bed012_chunk_2,0.1429,0.8678
val_036_result_Bed013_chunk_6,0.3223,0.8748
val_011_result_IS1007d_chunk_2,0.1924,0.8915
val_031_result_IS1001b_chunk_1,0.1866,0.9391
val_044_result_Bed010_chunk_2,0.2082,0.8633
val_030_result_Bed009_chunk_6,0.1868,0.7792
val_056_result_Bmr012_chunk_5,0.0775,0.7984
val_044_result_Bed010_chunk_1,0.1156,0.8414
val_056_result_Bmr012_chunk_2,0.1497,0.8587
val_056_result_Bmr012_chunk_1,0.0823,0.7920
val_058_result_Bro004_chunk_2,0.1345,0.8354
val_009_result_Bmr001_chunk_2,0.3118,0.9420
val_066_result_Bed002_chunk_6,0.2419,0.8973
val_041_result_ES2004a,0.1592,0.9109
val_006_result_Bmr019_chunk_4,0.2886,0.9227
val_046_result_Bmr028_chunk_6,0.1772,0.9029
val_044_result_Bed010_chunk_4,0.2038,0.8977
val_062_result_TS3006c_chunk_3,0.2208,0.9457
val_030_result_Bed009_chunk_5,0.1120,0.8401
val_045_result_TS3012c_chunk_2,0.2146,0.9057
val_048_result_Bmr006_chunk_3,0.0936,0.8194
val_021_result_Bro011_chunk_2,0.2353,0.8114
val_021_result_Bro011_chunk_1,0.0960,0.8742
val_056_result_Bmr012_chunk_3,0.1240,0.9346
val_010_result_Bro003_chunk_4,0.0664,0.8557
val_036_result_Bed013_chunk_3,0.2933,0.8564
val_061_result_TS3009b_chunk_3,0.2089,0.9471
val_004_result_ES2014d_chunk_1,0.2034,0.8601
val_049_result_Bro028_chunk_1,0.1079,0.8624
val_029_result_Bed016_chunk_2,0.0987,0.8083
val_002_result_ES2014a,0.1648,0.9641
val_055_result_ES2007b_chunk_2,0.1822,0.8765
val_049_result_Bro028_chunk_2,0.1792,0.9119
val_026_result_ES2015c_chunk_2,0.1889,0.8498
val_043_result_ES2007d_chunk_1,0.1425,0.8790
val_035_result_IS1000d_chunk_3,0.1680,0.8725
val_019_result_ES2013a,0.2201,0.9504
val_022_result_ES2002c_chunk_2,0.2210,0.9299
val_017_result_IS1007b_chunk_2,0.1040,0.8747
val_056_result_Bmr012_chunk_4,0.2698,0.9297
val_026_result_ES2015c_chunk_1,0.1956,0.9101
val_051_result_TS3010a,0.1484,0.7987
val_009_result_Bmr001_chunk_3,0.1768,0.8337
val_030_result_Bed009_chunk_4,0.1120,0.8969
val_034_result_Bed012_chunk_4,0.1547,0.8301
val_028_result_ES2012d,0.1102,0.8759
val_029_result_Bed016_chunk_4,0.0979,0.8006
val_024_result_TS3004a,0.2057,0.9337
val_012_result_TS3008d_chunk_3,0.1847,0.9448
val_005_result_ES2003b_chunk_1,0.2417,0.9401
val_010_result_Bro003_chunk_2,0.2117,0.8938
val_046_result_Bmr028_chunk_2,0.1183,0.8785
val_048_result_Bmr006_chunk_6,0.1703,0.9222
val_016_result_ES2015a,0.1986,0.8960
val_058_result_Bro004_chunk_3,0.1219,0.7877
val_044_result_Bed010_chunk_3,0.2444,0.8248
val_025_result_IS1000b_chunk_2,0.2159,0.9433
val_046_result_Bmr028_chunk_3,0.1525,0.9123
val_040_result_Bmr013_chunk_5,0.1060,0.9026
val_040_result_Bmr013_chunk_1,0.2882,0.8894
val_031_result_IS1001b_chunk_2,0.2866,0.9676
val_066_result_Bed002_chunk_4,0.1922,0.8183
val_011_result_IS1007d_chunk_1,0.1519,0.9499
val_066_result_Bed002_chunk_3,0.1261,0.8169
val_062_result_TS3006c_chunk_2,0.2278,0.8464
val_036_result_Bed013_chunk_4,0.1803,0.8539
val_044_result_Bed010_chunk_6,0.1485,0.9480
