파일명,TF-IDF_Cosine,Embedding_Cosine
val_029_result_Bed016_chunk_1,0.1790,0.8309
val_030_result_Bed009_chunk_1,0.3347,0.9678
val_046_result_Bmr028_chunk_7,0.1731,0.8693
val_007_result_Bmr025_chunk_3,0.2577,0.8773
val_006_result_Bmr019_chunk_3,0.2912,0.9001
val_048_result_Bmr006_chunk_1,0.3512,0.8850
val_036_result_Bed013_chunk_5,0.2815,0.8883
val_042_result_TS3009d_chunk_2,0.3491,0.8662
val_036_result_Bed013_chunk_1,0.2233,0.8672
val_026_result_ES2015c_chunk_3,0.2072,0.9053
val_030_result_Bed009_chunk_3,0.2262,0.8982
val_030_result_Bed009_chunk_2,0.3872,0.9054
val_036_result_Bed013_chunk_2,0.2672,0.8620
val_006_result_Bmr019_chunk_1,0.3720,0.8984
val_006_result_Bmr019_chunk_5,0.2034,0.9123
val_062_result_TS3006c_chunk_3,0.3125,0.9419
val_045_result_TS3012c_chunk_3,0.4117,0.9203
val_040_result_Bmr013_chunk_2,0.1734,0.7971
val_026_result_ES2015c_chunk_2,0.3455,0.8841
val_006_result_Bmr019_chunk_2,0.2901,0.8888
val_035_result_IS1000d_chunk_2,0.4784,0.9326
val_010_result_Bro003_chunk_5,0.1927,0.8903
val_032_result_TS3010b_chunk_1,0.2116,0.9531
val_004_result_ES2014d_chunk_2,0.2620,0.8905
val_025_result_IS1000b_chunk_2,0.4539,0.9581
val_066_result_Bed002_chunk_1,0.3973,0.9695
val_043_result_ES2007d_chunk_1,0.4459,0.9334
val_063_result_IS1009d_chunk_1,0.4461,0.9785
val_034_result_Bed012_chunk_3,0.1623,0.9489
val_049_result_Bro028_chunk_5,0.3188,0.8765
val_040_result_Bmr013_chunk_6,0.2234,0.9517
val_048_result_Bmr006_chunk_9,0.3135,0.8718
val_063_result_IS1009d_chunk_2,0.3571,0.8935
val_034_result_Bed012_chunk_2,0.3127,0.9194
val_036_result_Bed013_chunk_6,0.2074,0.8612
val_011_result_IS1007d_chunk_2,0.3058,0.9233
val_031_result_IS1001b_chunk_1,0.2943,0.9331
val_044_result_Bed010_chunk_2,0.3015,0.9175
val_030_result_Bed009_chunk_6,0.3705,0.8368
val_056_result_Bmr012_chunk_5,0.1738,0.9015
val_044_result_Bed010_chunk_1,0.3662,0.8900
val_056_result_Bmr012_chunk_2,0.4788,0.9284
val_056_result_Bmr012_chunk_1,0.2034,0.8653
val_058_result_Bro004_chunk_1,0.2322,0.9039
val_009_result_Bmr001_chunk_2,0.2985,0.8838
val_066_result_Bed002_chunk_6,0.3480,0.8987
val_005_result_ES2003b_chunk_2,0.4036,0.9355
val_006_result_Bmr019_chunk_4,0.3747,0.9142
val_046_result_Bmr028_chunk_5,0.2594,0.9185
val_044_result_Bed010_chunk_4,0.1944,0.9079
val_042_result_TS3009d_chunk_1,0.3007,0.8669
val_030_result_Bed009_chunk_5,0.1704,0.8367
val_045_result_TS3012c_chunk_2,0.2697,0.9170
val_048_result_Bmr006_chunk_3,0.2648,0.8395
val_021_result_Bro011_chunk_1,0.1796,0.9109
val_058_result_Bro004_chunk_3,0.2390,0.9079
val_056_result_Bmr012_chunk_3,0.3179,0.9296
val_010_result_Bro003_chunk_3,0.1651,0.8877
val_036_result_Bed013_chunk_3,0.2174,0.8978
val_061_result_TS3009b_chunk_3,0.4228,0.9324
val_004_result_ES2014d_chunk_1,0.3346,0.8536
val_021_result_Bro011_chunk_5,0.3140,0.9583
val_029_result_Bed016_chunk_2,0.2181,0.8342
val_041_result_ES2004a,0.4174,0.9428
val_055_result_ES2007b_chunk_2,0.2001,0.8256
val_049_result_Bro028_chunk_1,0.1975,0.8628
val_012_result_TS3008d_chunk_2,0.3268,0.8906
val_025_result_IS1000b_chunk_3,0.3894,0.9515
val_035_result_IS1000d_chunk_3,0.3302,0.9102
val_019_result_ES2013a,0.3060,0.9484
val_022_result_ES2002c_chunk_2,0.2896,0.9253
val_017_result_IS1007b_chunk_2,0.1880,0.8455
val_056_result_Bmr012_chunk_4,0.1909,0.8949
val_026_result_ES2015c_chunk_1,0.3312,0.9445
val_051_result_TS3010a,0.2221,0.8493
val_009_result_Bmr001_chunk_3,0.2331,0.8928
val_030_result_Bed009_chunk_4,0.1502,0.8951
val_034_result_Bed012_chunk_4,0.2901,0.9067
val_028_result_ES2012d,0.3084,0.8824
val_029_result_Bed016_chunk_4,0.1735,0.8131
val_010_result_Bro003_chunk_6,0.1736,0.9109
val_012_result_TS3008d_chunk_3,0.3326,0.9318
val_002_result_ES2014a,0.3607,0.9732
val_010_result_Bro003_chunk_2,0.2283,0.8501
val_045_result_TS3012c_chunk_4,0.3810,0.9567
val_039_result_IS1009b_chunk_2,0.4660,0.9558
val_046_result_Bmr028_chunk_4,0.2737,0.8936
val_040_result_Bmr013_chunk_5,0.1942,0.9125
val_040_result_Bmr013_chunk_1,0.3556,0.8874
val_046_result_Bmr028_chunk_3,0.1438,0.8232
val_066_result_Bed002_chunk_4,0.2934,0.9041
val_044_result_Bed010_chunk_3,0.2882,0.8421
val_040_result_Bmr013_chunk_4,0.3232,0.9382
val_066_result_Bed002_chunk_3,0.1458,0.8786
val_040_result_Bmr013_chunk_3,0.1505,0.8409
val_007_result_Bmr025_chunk_2,0.3559,0.9166
val_036_result_Bed013_chunk_4,0.2513,0.8670
val_044_result_Bed010_chunk_6,0.1656,0.9152
val_066_result_Bed002_chunk_5,0.2723,0.9112
val_025_result_IS1000b_chunk_1,0.3198,0.9289
