파일명,TF-IDF_Cosine,Embedding_Cosine
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_21,0.0000,0.5084
val_006_result_Bmr019_chunk_3,0.0101,0.6030
val_044_result_Bed010_chunk_1,0.0000,0.5322
val_042_result_TS3009d_chunk_3,0.0859,0.8993
val_063_result_IS1009d_chunk_2,0.0038,0.5704
val_035_result_IS1000d_chunk_2,0.0000,0.5548
val_010_result_Bro003_chunk_1,0.0004,0.5671
val_040_result_Bmr013_chunk_4,0.0143,0.6241
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_15,0.1247,0.9117
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_19,0.2649,0.9370
val_056_result_Bmr012_chunk_1,0.0001,0.5094
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_2,0.0001,0.5363
val_018_result_제22대국회 제426회(임시회) 제3차 환경노동위원회(전체회의) (2025.07.04.),0.0000,0.5150
val_044_result_Bed010_chunk_5,0.0073,0.5112
val_044_result_Bed010_chunk_4,0.0623,0.5811
val_056_result_Bmr012_chunk_4,0.0152,0.5704
val_025_result_IS1000b_chunk_2,0.0000,0.5899
val_017_result_IS1007b_chunk_2,0.0312,0.5516
val_023_result_제22대국회 제427회(임시회) 제1차 행정안전위원회(법안심사제1소위원회) (2025.07.08.)_chunk_16,0.0027,0.5754
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_4,0.0000,0.5390
val_044_result_Bed010_chunk_2,0.0002,0.5223
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_6,0.0123,0.5339
val_002_result_ES2014a,0.0003,0.5827
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_26,0.0003,0.5476
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_26,0.1167,0.9356
val_057_result_제22대국회 제426회(임시회) 제2차 예산결산특별위원회(2025년도제2회추가경정예산안등조정소위원회) (2025.07.04.)_chunk_4,0.1503,0.7393
val_025_result_IS1000b_chunk_3,0.0000,0.6168
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_10,0.0033,0.5606
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_19,0.0127,0.5950
val_032_result_TS3010b_chunk_1,0.0063,0.5158
val_066_result_Bed002_chunk_4,0.0000,0.5578
val_021_result_Bro011_chunk_2,0.0023,0.5630
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_23,0.1193,0.9261
val_020_result_제22대국회 제424회(임시회) 제1차 과학기술정보방송통신위원회(과학기술원자력법안심사소위원회) (2025.04.16.)_chunk_4,0.1122,0.8744
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_8,0.0101,0.5365
val_058_result_Bro004_chunk_3,0.0079,0.4870
val_025_result_IS1000b_chunk_1,0.0005,0.5668
val_020_result_제22대국회 제424회(임시회) 제1차 과학기술정보방송통신위원회(과학기술원자력법안심사소위원회) (2025.04.16.)_chunk_2,0.1155,0.8847
