파일명,TF-IDF_Cosine,Embedding_Cosine
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_21,0.0586,0.7867
val_006_result_Bmr019_chunk_3,0.0296,0.7916
val_044_result_Bed010_chunk_1,0.0111,0.5107
val_042_result_TS3009d_chunk_3,0.0396,0.7486
val_063_result_IS1009d_chunk_2,0.0178,0.5837
val_035_result_IS1000d_chunk_2,0.0001,0.5304
val_010_result_Bro003_chunk_1,0.0421,0.8149
val_040_result_Bmr013_chunk_4,0.1093,0.8604
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_15,0.0747,0.9106
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_19,0.0913,0.8864
val_056_result_Bmr012_chunk_1,0.0000,0.5349
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_2,0.0081,0.7379
val_018_result_제22대국회 제426회(임시회) 제3차 환경노동위원회(전체회의) (2025.07.04.),0.0391,0.7475
val_044_result_Bed010_chunk_5,0.0000,0.5196
val_044_result_Bed010_chunk_4,0.0641,0.7132
val_056_result_Bmr012_chunk_4,0.0063,0.5780
val_025_result_IS1000b_chunk_2,0.0121,0.6867
val_017_result_IS1007b_chunk_2,0.0161,0.4876
val_023_result_제22대국회 제427회(임시회) 제1차 행정안전위원회(법안심사제1소위원회) (2025.07.08.)_chunk_16,0.0322,0.7485
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_4,0.0590,0.9373
val_044_result_Bed010_chunk_2,0.0060,0.5971
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_6,0.0225,0.7033
val_002_result_ES2014a,0.0958,0.8924
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_26,0.1668,0.8893
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_26,0.0281,0.7124
val_057_result_제22대국회 제426회(임시회) 제2차 예산결산특별위원회(2025년도제2회추가경정예산안등조정소위원회) (2025.07.04.)_chunk_4,0.0466,0.7846
val_025_result_IS1000b_chunk_3,0.0196,0.5354
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_10,0.0073,0.7302
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_19,0.0995,0.9287
val_032_result_TS3010b_chunk_1,0.0861,0.8435
val_066_result_Bed002_chunk_4,0.0000,0.5372
val_021_result_Bro011_chunk_2,0.0454,0.8217
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_23,0.0411,0.8480
val_020_result_제22대국회 제424회(임시회) 제1차 과학기술정보방송통신위원회(과학기술원자력법안심사소위원회) (2025.04.16.)_chunk_4,0.0257,0.8105
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_8,0.1463,0.8565
val_058_result_Bro004_chunk_3,0.0000,0.4650
val_025_result_IS1000b_chunk_1,0.0977,0.8139
val_020_result_제22대국회 제424회(임시회) 제1차 과학기술정보방송통신위원회(과학기술원자력법안심사소위원회) (2025.04.16.)_chunk_2,0.0296,0.7959
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_3,0.0225,0.8094
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_20,0.0246,0.7524
val_027_result_제22대국회 제426회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.06.27.)_chunk_1,0.0680,0.7926
val_040_result_Bmr013_chunk_1,0.0103,0.5470
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_4,0.0698,0.8251
val_065_result_제22대국회 제424회(임시회) 제4차 과학기술정보방송통신위원회(전체회의) (2025.04.24.)_chunk_1,0.1122,0.8589
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_5,0.0000,0.4963
val_061_result_TS3009b_chunk_1,0.0978,0.8334
val_036_result_Bed013_chunk_1,0.0325,0.7988
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_16,0.0272,0.8419
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_14,0.0443,0.9155
val_007_result_Bmr025_chunk_4,0.0127,0.5305
val_008_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(전체회의) (2025.06.26.)_chunk_5,0.0259,0.7583
val_048_result_Bmr006_chunk_6,0.0612,0.8222
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_21,0.0000,0.4853
val_003_result_제22대국회 제418회(정기회) 제5차 과학기술정보방송통신위원회(예산결산심사소위원회) (2024.11.19.)_chunk_2,0.0216,0.7335
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_6,0.0000,0.4883
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_13,0.0189,0.8565
val_043_result_ES2007d_chunk_2,0.0473,0.8568
val_048_result_Bmr006_chunk_1,0.0294,0.7090
val_036_result_Bed013_chunk_2,0.0006,0.5035
val_031_result_IS1001b_chunk_1,0.1134,0.8668
val_015_result_제22대국회 제418회(정기회) 제11차 과학기술정보방송통신위원회(전체회의) (2024.10.25.),0.0184,0.7500
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_11,0.1459,0.9299
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_19,0.0555,0.8567
val_040_result_Bmr013_chunk_3,0.0445,0.8690
val_038_result_제22대국회 제427회(임시회) 제4차 기획재정위원회(전체회의) (2025.07.18.),0.0837,0.9061
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_3,0.0122,0.7675
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_13,0.0257,0.7784
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_7,0.0190,0.7707
val_021_result_Bro011_chunk_4,0.0000,0.4660
val_008_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(전체회의) (2025.06.26.)_chunk_1,0.1901,0.9227
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_2,0.0838,0.8648
val_026_result_ES2015c_chunk_2,0.0989,0.8131
val_061_result_TS3009b_chunk_2,0.0000,0.5696
val_048_result_Bmr006_chunk_2,0.0000,0.3879
val_049_result_Bro028_chunk_3,0.0411,0.5749
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_13,0.0269,0.6180
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_6,0.1699,0.9452
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_17,0.1238,0.9017
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_17,0.1994,0.9180
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_20,0.0518,0.9014
val_042_result_TS3009d_chunk_1,0.0850,0.8704
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_4,0.0626,0.8781
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_10,0.0714,0.8629
val_060_result_제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.01.06.)_chunk_5,0.0001,0.5409
val_029_result_Bed016_chunk_1,0.0000,0.5369
val_031_result_IS1001b_chunk_2,0.1700,0.9318
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_22,0.2283,0.8837
val_060_result_제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.01.06.)_chunk_1,0.0400,0.7731
val_052_result_제22대국회 제426회(임시회) 제2차 법제사법위원회(전체회의) (2025.07.03.)_chunk_3,0.0590,0.8809
val_061_result_TS3009b_chunk_3,0.2591,0.7729
val_009_result_Bmr001_chunk_2,0.0139,0.5589
val_026_result_ES2015c_chunk_3,0.1219,0.8659
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_2,0.0060,0.5229
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_16,0.0000,0.5164
